Sample	theta_1A	theta_2B	theta_3C.D	theta_4E	theta_5H	theta_6AEC.DBH	theta_7AEC.DB	theta_8EC.DB	theta_9EC.D	tau_6AEC.DBH	tau_7AEC.DB	tau_8EC.DB	tau_9EC.D	lnL
0	0.003666	0.005444	0.007795	0.009562	0.0066	0.018444	0.007426	0.010696	0.048761	0.015726	0.006932	0.003672	0.00225	-7874.384
1	0.006318	0.004435	0.007967	0.006877	0.005948	0.015449	0.006362	0.018448	0.013879	0.012351	0.007518	0.00474	0.002419	-7858.289
2	0.004467	0.004582	0.005371	0.005879	0.006859	0.009279	0.006516	0.008251	0.019513	0.01063	0.006999	0.005025	0.002592	-7859.535
3	0.003381	0.005331	0.005918	0.006086	0.007061	0.020925	0.004908	0.005399	0.009955	0.013309	0.007443	0.005888	0.003451	-7865.353
4	0.005684	0.004159	0.00541	0.011986	0.005118	0.015205	0.003984	0.021156	0.023536	0.011256	0.007378	0.005407	0.0032	-7866.626
5	0.007139	0.004055	0.00561	0.005305	0.006556	0.012601	0.00521	0.014063	0.010359	0.012493	0.007064	0.00478	0.003613	-7882.434
6	0.004635	0.004373	0.006335	0.009241	0.006339	0.015082	0.004376	0.014152	0.006535	0.015736	0.007564	0.004657	0.003806	-7901.382
7	0.005886	0.004931	0.00948	0.00829	0.004	0.007939	0.006562	0.012576	0.006431	0.01623	0.00774	0.005527	0.002978	-7858.652
8	0.004657	0.004824	0.007681	0.008077	0.00475	0.012822	0.004054	0.014372	0.012406	0.015318	0.008366	0.005535	0.003097	-7862.95
9	0.005453	0.005204	0.006643	0.005963	0.004638	0.010393	0.009014	0.0179	0.018036	0.013679	0.007024	0.005231	0.001659	-7845.865
10	0.003561	0.004877	0.007189	0.00685	0.00548	0.013358	0.004604	0.010948	0.011922	0.011301	0.009578	0.005269	0.002654	-7857.671
11	0.004254	0.004493	0.005317	0.005859	0.004084	0.014678	0.008441	0.007643	0.005356	0.009932	0.005738	0.003643	0.001833	-7853.33
12	0.004168	0.003625	0.006526	0.006653	0.005104	0.009421	0.005767	0.014521	0.012375	0.016138	0.006595	0.003875	0.003413	-7857.494
13	0.004547	0.005294	0.005623	0.011153	0.006855	0.007376	0.004436	0.008635	0.011772	0.012962	0.006619	0.004711	0.003059	-7865.241
14	0.004574	0.004684	0.007041	0.006267	0.005489	0.007568	0.005848	0.011365	0.009289	0.013472	0.007551	0.005794	0.004319	-7855.384
15	0.004704	0.005541	0.008893	0.009213	0.00587	0.019461	0.009369	0.010302	0.025167	0.014439	0.007267	0.004399	0.003385	-7855.014
16	0.004123	0.003619	0.007274	0.00475	0.00412	0.012061	0.005699	0.027032	0.007409	0.009531	0.005563	0.003358	0.003142	-7856.666
17	0.00561	0.00391	0.005494	0.003233	0.005326	0.007308	0.007347	0.013018	0.014763	0.014775	0.006211	0.004611	0.001965	-7855.022
18	0.004525	0.003712	0.00468	0.002423	0.005454	0.01171	0.006231	0.00694	0.015481	0.014949	0.005921	0.004704	0.002101	-7856.936
19	0.005148	0.004092	0.005446	0.008294	0.007111	0.015252	0.003615	0.014274	0.023042	0.013934	0.007423	0.003463	0.00297	-7870.417
20	0.004779	0.004418	0.007916	0.011946	0.006032	0.006679	0.006398	0.00813	0.021406	0.013316	0.006027	0.004913	0.003004	-7856.272
21	0.004911	0.00656	0.007194	0.00791	0.005333	0.00724	0.008139	0.019252	0.013802	0.011599	0.008097	0.003281	0.002282	-7863.686
22	0.007586	0.004936	0.006607	0.00427	0.007606	0.009056	0.009652	0.016496	0.021279	0.013843	0.00712	0.003796	0.003064	-7864.077
23	0.004361	0.005791	0.005362	0.006635	0.005194	0.019127	0.008318	0.009697	0.015943	0.011946	0.005067	0.004086	0.003686	-7872.296
24	0.005367	0.004623	0.004929	0.004855	0.00488	0.012039	0.005252	0.018209	0.010671	0.010844	0.007167	0.003671	0.002654	-7850.309
25	0.00632	0.005254	0.005575	0.006668	0.004978	0.016299	0.005466	0.016759	0.012933	0.00956	0.005844	0.004541	0.001926	-7868.478
26	0.005434	0.00333	0.007905	0.004032	0.005611	0.009229	0.005681	0.014203	0.012903	0.017008	0.009215	0.006084	0.003035	-7867.697
27	0.006324	0.005799	0.006427	0.006692	0.005385	0.013273	0.007887	0.016642	0.010236	0.017449	0.006986	0.005157	0.001678	-7852.864
28	0.005568	0.003476	0.004504	0.007406	0.003677	0.009186	0.008307	0.012009	0.007773	0.013593	0.006663	0.00404	0.003199	-7867.843
29	0.006553	0.005838	0.00853	0.01005	0.006488	0.009874	0.004195	0.008295	0.004438	0.013438	0.007411	0.005288	0.003582	-7876.248
30	0.003558	0.004764	0.006149	0.006056	0.003711	0.009324	0.014884	0.011395	0.013531	0.009202	0.005907	0.004654	0.001501	-7868.497
31	0.004533	0.004901	0.007903	0.009504	0.004196	0.011597	0.013325	0.007738	0.010368	0.012664	0.007532	0.006949	0.003705	-7871.015
32	0.005795	0.003498	0.007034	0.005569	0.00452	0.006738	0.006978	0.006697	0.006993	0.013827	0.005941	0.004201	0.002212	-7848.637
33	0.004943	0.00504	0.006678	0.012106	0.003833	0.009918	0.003951	0.022897	0.015101	0.016892	0.007494	0.005438	0.003472	-7870.147
34	0.005901	0.006194	0.008539	0.012004	0.005941	0.007129	0.013341	0.009198	0.010614	0.014814	0.006771	0.004906	0.003566	-7882.966
35	0.004573	0.005001	0.005213	0.010059	0.006286	0.007716	0.005829	0.011687	0.008759	0.012196	0.005636	0.004323	0.002847	-7872.027
36	0.004571	0.004748	0.006694	0.003286	0.005659	0.010342	0.005902	0.00536	0.007627	0.010675	0.007915	0.005031	0.003757	-7856.375
37	0.004539	0.005127	0.004474	0.003895	0.007702	0.016696	0.005883	0.015671	0.010359	0.011611	0.006609	0.004415	0.002682	-7878.727
38	0.005268	0.004373	0.006956	0.007109	0.004268	0.00512	0.00989	0.012447	0.00908	0.014265	0.005752	0.004525	0.003096	-7866.031
39	0.005484	0.003952	0.008363	0.007686	0.006962	0.006849	0.005599	0.020842	0.014463	0.01193	0.006486	0.004524	0.003098	-7871.182
40	0.004508	0.007832	0.004633	0.008759	0.005481	0.01252	0.010219	0.008112	0.010541	0.014316	0.00706	0.004693	0.002813	-7877.077
